ID,year,title,abstract
US-6401457-B1,2002,System for estimating turbocharger compressor outlet temperature ,"A method for controlling a selective catalytic reduction injection system having a storage tank, a pump, a delivery line, and an injection nozzle includes monitoring the selective catalytic reduction injection system, determining a selective catalytic reduction injector system effective area ratio, comparing the selective catalytic reduction injector system effective area ratio to a threshold, calculating a compensation factor upon surpassing the threshold, and modifying the commanded injected mass according to the calculated compensation factor."
US-6687601-B2,2004,System for diagnosing an air handling mechanism of an internal combustion engine ,"An engine includes an intake manifold mixing an intake air flow and an exhaust gas recirculation flow to provide an intake charge flow. A method to estimate an intake charge temperature of the intake charge includes monitoring system conditions for the engine, determining an effect of the mixing upon a specific heat coefficient of the intake charge flow based upon the monitored system conditions, estimating the intake charge temperature based upon the effect of the mixing upon the specific heat coefficient of the intake charge flow and the monitored system conditions, and controlling the engine based upon the estimated intake charge temperature."
US-6698203-B2,2004,System for estimating absolute boost pressure in a turbocharged internal combustion engine ,"A method for estimating a cylinder air charge for an internal combustion engine includes determining a first volumetric efficiency corresponding to engine operation with an open exhaust gas recirculation valve, determining a second volumetric efficiency corresponding to engine operation with a closed exhaust gas recirculation valve, determining a cylinder air charge using a selected one of the first and second volumetric efficiencies."
US-6298718-B1,2001,Turbocharger compressor diagnostic system ,"An engine is fueled with a fuel blend of diesel and bidiesel fuel. A feed forward fuel control term is provided corresponding to a 100 percent diesel fuel blend and a feedback fuel control term corrects for lambda deviations resulting in a final fuel control term. During regeneration of a lean Nox trap, the feed forward fuel control term is adapted with a factor as a function of the feed forward fuel control term and the final fuel control term."
US-6848434-B2,2005,System for diagnosing operation of an EGR cooler ,"An engine includes an exhaust gas recirculation system with a high pressure exhaust gas recirculation loop and a low pressure exhaust gas recirculation loop, and an air charging system. A method of controlling the air charging system includes monitoring an actual exhaust gas recirculation rate, operating conditions of a compressor and turbine in the air charging system. A compressor flow is determined based on a target exhaust gas recirculation rate, a target intake manifold pressure and the actual exhaust gas recirculation rate. A power requested by the compressor is determined based on the compressor flow, the target intake manifold pressure, and the monitored operating conditions of the compressor. A power to be generated by the turbine is determined based upon the power requested by the compressor. A turbine flow is determined based upon the power to be generated by the turbine and the monitored operating conditions of the turbine. A system control command is determined based on the turbine flow and the monitored operating conditions of the turbine. The air charging system is controlled based on the system control command."
US-6085732-A,2000,EGR fault diagnostic system ,"A method for managing an exhaust aftertreatment system within a vehicle including a catalyst device includes monitoring a digital map device providing a predicted vehicle operating condition through a travel route, and determining a predicted exhaust gas temperature profile based upon the monitoring of the digital map device. Operation of the catalyst device is controlled based upon the predicted exhaust gas temperature profile."
US-6619261-B1,2003,System for controlling an operating condition of an internal combustion engine ,"A turbocharger control method includes: determining a first desired pressure ratio across a first compressor of a first turbocharger; based on the first desired pressure ratio, determining a first desired duty cycle for a first wastegate of the first turbocharger; determining a second desired pressure ratio across a second compressor of a second turbocharger based on the first desired pressure ratio; based on the second desired pressure ratio, determining a second desired duty cycle for a second wastegate of the second turbocharger; generating a first target duty cycle for the first wastegate based on the first desired duty cycle; opening the first wastegate based on the first target duty cycle; generating a second target duty cycle for the second wastegate based on the second desired duty cycle; and opening the second wastegate based on the second target duty cycle."
US-6804601-B2,2004,Sensor failure accommodation system ,"An EGR fault/failure determination system for an internal combustion engine is operable to monitor a number of EGR system operational parameters and diagnose various EGR-related fault and failure statuses therefrom. For example, the system is operable to determine a number of EGR system-related fault and failure conditions by monitoring measured and command EGR position signals to determine EGR valve controller functionality, to monitor response times between fully open and closed EGR valve positions by comparing measured response times to a calibratable response time value, and to monitor in-range EGR position failures associated with fully closed and fully opened EGR valve position values. The system further includes a Kalman filter-based fault/failure isolation feature operable to isolate and identify one or more sources of EGR valve-related faults/failures."
US-6802302-B1,2004,System for diagnosing EGR flow rate operation ,A method of diagnosing vehicle NOx sensor faults that includes sensing that an exhaust gas recirculating (EGR) valve is closed and that fuel flow to a vehicle engine is above a predetermined rate using an electronic control unit (ECU) located on a vehicle; recording the output received from an NOx sensor relative to an amount of fuel consumption over a period of time using the ECU; calculating the mean of the NOx sensor output relative to fuel consumption recorded over the period of time using the ECU; performing a least-squares estimation (LSE) using the ECU for more than one calculated mean based on an expected NOx sensor output; generating a NOx sensor gain for the NOx sensor using the ECU based on the LSE; and determining whether the NOx sensor gain is above or below a predetermined threshold.
US-6850833-B1,2005,System for diagnosing delta pressure sensor operation ,"A method for indicating a non-urea reductant fault in a powertrain including an internal combustion engine and an aftertreatment system having an aftertreatment device utilizing a catalyst to convert NOx includes monitoring a NOx content exiting the aftertreatment system subsequent to a powertrain start-up event through a test span, monitoring a measure of NOx content entering the aftertreatment system subsequent to a powertrain start-up event through the test span, and determining a measure of NOx conversion accomplished in the aftertreatment device based upon the NOx content exiting the aftertreatment system and the measure of NOx content entering the aftertreatment system. The method includes, through the test span, comparing the measure of NOx conversion determined at a start of the test span to the measure of NOx conversion at a later time within the test span. A non-urea reductant fault is indicated based upon the comparing identifying a reduction in NOx conversion accomplished in the aftertreatment device between the start of the test span and the later time within the test span."
US-6539714-B1,2003,System for estimating turbocharger rotational speed ,"Methods and systems for detecting faults in temperature sensors on engine systems provided with equipment for treatment of combustion products of an exhaust effluent stream during engine operation include determining sensor faults from differences in temperature between sensors present in such systems over time. Estimated exhaust gas temperatures may be compared against real time temperature measurements to arrive at a diagnostic residual value representing the difference between a modeled value and measured value, and deviation of the measured value from the modeled value is used to indicate a sensor fault."
US-2010043404-A1,2010,Using gps/map/traffic info to control performance of aftertreatment (at) devices ,"A system for diagnosing fault conditions associated with an air handling system for an internal combustion engine includes an air handling control mechanism responsive to a mechanism command to control fluid flow through an air handling system of an internal combustion engine. An engine controller is configured to compute predicted responses of a number of engine operating parameters each as a different function of the mechanism command, and to compute a corresponding number of correlation coefficients each as a function of one of the engine operating parameter signals and a corresponding one of the predicted responses. The controller is operable to diagnose a fault associated with the air handling control mechanism if at least some of the correlation coefficients are below a first threshold, and to diagnose a properly functioning air handling control mechanism if at least some of the correlation coefficients are above a second threshold."
US-2011184632-A1,2011,Adaptive intake oxygen estimation in a diesel engine ,"A method for estimating an oxygen concentration in an intake manifold of a diesel engine utilizing exhaust gas recirculation includes monitoring engine operation, monitoring an exhaust gas recirculation valve, and monitoring an exhaust air fuel ratio. When the engine operates in steady state with the exhaust gas recirculation valve in the closed position, a volumetric efficiency for the engine is updated. A partial pressure due to exhaust gas recirculation within the intake manifold based upon the updated volumetric efficiency is determined, and an estimated oxygen concentration within the intake manifold based upon the partial pressure due to exhaust gas recirculation within the intake manifold and the exhaust air fuel ratio is determined Operation of the engine is controlled based upon the estimated oxygen concentration within the intake manifold."
